id,name,breed_time,buy_price,hatch_time,breedable,hatch_xp,description
453,Imp Dragon,4 days 4 hrs ,6000,2 days 10 hrs ,No,432000,"The Imp Dragon is a Legendary Dragon   with the primary typing of Legend.       This mischievous dragon is always seeking attention, but his pranks can be a bit upsetting sometimes. In the end, hes just a lonely little creature who gets too bored."
454,Handy Dragon,1 day 10 hrs ,3000,23 Hours ,No,150000,The Handy Dragon is a Rare Dragon   with the primary typing of Terra. The Handy Dragon can also learn Flame and  Metal moves.      Broken statue? Handy Dragon’s there to fix it! Farm not working? Call the Handy Dragon! Leaky Sea Habitat? The Handy Dragon’s what you need!
455,Ifrit Dragon,1 day 10 hrs ,3000,23 Hours ,No,12000,"The Ifrit Dragon is a Rare Dragon   with the primary typing of Flame. The Ifrit Dragon can also learn Terra and  Dark moves.      This criminal has spent his whole life in and out of prison. He started with common offenses, like stealing some tomatoes, but his latest felonies include setting fire to an entire city!"
456,Soul Eater Dragon,,,,,,
457,Kooky Dragon,2 days 16 hrs ,4500,1 days 16 hrs ,No,200000,"The Kooky Dragon is a Epic Dragon   with the primary typing of Electric. The Kooky Dragon can also learn Dark and  War moves.      No one wants to be a subject in this scientists experiments, so he tries his mad inventions on himself. Sometimes the results are great and sometimes… well, he ends up creating creepy hybrids."
458,Immortal Dragon,4 days 4 hrs ,4500,2 days 10 hrs ,No,432000,"The Immortal Dragon is a Legendary Dragon   with the primary typing of Legend.       Rumor has it that when it was this dragon’s turn to die, he refused to cross The Styx; instead, he stole Charon’s boat and used it to sail back to the world of the living."
459,Heat Dragon,1 day 10 hrs ,3000,23 Hours ,No,150000,"The Heat Dragon is a Epic Dragon   with the primary typing of Dark. The Heat Dragon can also learn Metal and  Flame moves.      When this dragon is angry and plotting his revenge, the temperature goes up. Believe us, you do not want to feel the heat of his fury."
460,Valiant Dragon,2 days 16 hrs ,4500,1 days 16 hrs ,No,200000,"The Valiant Dragon is a Legendary Dragon   with the primary typing of Terra. The Valiant Dragon can also learn Light, Metal and  War moves.      This hero belongs to an old world, far away in both time and space, where only the strongest survived. Imagine how mighty this dragon must be: He’s made it to our time and to our world!"
461,Barley Dragon,17 Hours ,3000,23 Hours ,Yes,150000,"The Barley Dragon is a Very Rare Dragon   with the primary typing of Sea. The Barley Dragon can also learn Terra and  Light moves.      Fresh and foamy and filled to the brim with happiness, this mischievous creature loves parties and music festivals but also enjoys a quiet day under the sun."
462,Homerun Dragon,17 Hours ,3000,23 Hours ,Yes,150000,"The Homerun Dragon is a Very Rare Dragon   with the primary typing of Ice. The Homerun Dragon can also learn Electric and  Light moves.      He hits it high, he hits it deep, and it goes straight past center field! The ball is outta here! It’s a home run, his seventh one this season! The Dragon City Champions tie the game."
463,Frostbite Dragon,1 day 10 hrs ,3000,23 Hours ,No,150000,"The Frostbite Dragon is a Very Rare Dragon   with the primary typing of Sea. The Frostbite Dragon can also learn Ice and  Dark moves.      It’s hard to battle in winter! Fire Dragons have trouble sparking their flames, Nature Dragons feel too sick to fight… Thankfully, this beast could fight even in the North Pole without shivering once."
464,Retired Dragon,1 day 8 hrs ,3000,23 Hours ,Yes,150000,"The Retired Dragon is a Epic Dragon   with the primary typing of Light. The Retired Dragon can also learn War and  Pure moves.      After decades of rearing young dragons for epic battles, the Retired Dragon has decided that he’s ready to explore the multiverse. He wants to do it alone, but no matter where he wanders, there will always be a dragon there to help him along the way."
465,Cyber Dragon,17 Hours ,3000,23 Hours ,Yes,200000,"The Cyber Dragon is a Legendary Dragon   with the primary typing of War. The Cyber Dragon can also learn Metal and  Electric moves.      The Cyber Dragon was never meant to see outside laboratory walls. Built as a test dragon for tech researchers, this robotic beast had enough poking and prodding and has since escaped the cold lab to develop not only a mind of its own but extreme curiosity."
466,Spartan Dragon,1 day 10 hrs ,3000,23 Hours ,No,200000,"The Spartan Dragon is a Epic Dragon   with the primary typing of Dark. The Spartan Dragon can also learn Terra and  War moves.      Dragons, prepare for glory. This tireless warrior has arrived to lead your troops to victory. Because this… is… Dragon City!"
467,Evil Dragon,1 day 10 hrs ,6000,23 Hours ,No,200000,"The Evil Dragon is a Legendary Dragon   with the primary typing of Legend. The Evil Dragon can also learn Dark moves.      Born wicked, the Evil Dragon certainly lives up to his name. This dark dragon is known for harassing other dragons, causing them to live in fear. He couldn’t be good even if he tried."
468,Energy Dragon,1 day 10 hrs ,3000,23 Hours ,No,10000,The Energy Dragon is a Common Dragon   with the primary typing of Terra. The Energy Dragon can also learn Electric moves.      This dragon concentrates so much energy that he’s like a walking big bang. He can create entire galaxies just by breathing. Impressive!
469,Dejavu Dragon,17 Hours ,3000,23 Hours ,Yes,150000,"The Dejavu Dragon is a Rare Dragon   with the primary typing of Flame. The Dejavu Dragon can also learn Electric and  War moves.      Every time a new creature arrives to the island, the DéjàVu Dragon goes: “Heyyy, haven’t we met before?” He can be a bit confusing."
470,Wonder Dragon,1 day 8 hrs ,4500,1 days 16 hrs ,Yes,200000,"The Wonder Dragon is a Epic Dragon   with the primary typing of Light. The Wonder Dragon can also learn Pure and  Electric moves.      One of the most curious dragons. The Wonder Dragon is a great observer of his surroundings. He also has the most unexpected reactions to surprising events, like chuckling when someone sneezes!"
471,Asier Dragon,4 days 4 hrs ,4500,2 days 10 hrs ,No,432000,"The Asier Dragon is a Legendary Dragon   with the primary typing of Legend.       This dragon is a true fighter, a Dragon City hero. All the other dragons love him and know how great he is. Asier, youre our champion!"
472,Amerindian Dragon,1 day 10 hrs ,3000,23 Hours ,No,100000,The Amerindian Dragon is a Epic Dragon   with the primary typing of Nature. The Amerindian Dragon can also learn Terra and  Pure moves.      He is a great warrior but also a spiritual leader. He encourages all the other dragons to love and protect the land that Mother Nature has given them.
473,Sky Queen Dragon,,,,,,
474,Boreal Dragon,2 days 16 hrs ,2000,1 days 16 hrs ,No,100000,The Boreal Dragon is a Epic Dragon   with the primary typing of Pure. The Boreal Dragon can also learn Dark and  Light moves.      This dragon can be found in Norway between the end of fall and the beginning of spring. He emerges to dance with the spirits whenever the northern lights are bright.
475,Obscure Dragon,1 day 10 hrs ,3000,23 Hours ,No,150000,"The Obscure Dragon is a Legendary Dragon   with the primary typing of Legend. The Obscure Dragon can also learn Dark moves.      Heres a real creature of the night - hard to see and also hard to catch. When this dragon is about to get caught, he spits out a cloud of dense purple smoke and uses it to make his getaway."
476,Never Grow Dragon,,,,,,
477,Barebone Dragon,1 day 10 hrs ,3000,23 Hours ,No,150000,"The Barebone Dragon is a Very Rare Dragon   with the primary typing of Metal. The Barebone Dragon can also learn Flame and  Dark moves.      If your mom always tells you not to play with the bad boys, stay away from this dragon. However, if you’re looking for trouble, he will gladly become your partner in crime."
478,Yokai Dragon,1 day 10 hrs ,3000,23 Hours ,No,150000,The Yokai Dragon is a Epic Dragon   with the primary typing of Dark. The Yokai Dragon can also learn Light and  Electric moves.      Fighting a dragon is scary. Fighting a dragon and its ghostly double? Absolutely terrifying!
479,Ranger Dragon,1 day 8 hrs ,6000,1 days 16 hrs ,Yes,200000,The Ranger Dragon is a Legendary Dragon   with the primary typing of Legend.       The Ranger Dragon used to be scared of everything until one day he challenged himself to be braver. Now his bravery has turned into a full-time calling. This courageous dragon keeps the deserts of Dragon City safe and protected.
480,Bloody Dragon,18 Hours ,2000,15 Hours ,No,100000,"The Bloody Dragon is a Legendary Dragon   with the primary typing of Legend. The Bloody Dragon can also learn Dark and  Sea moves.      This dragon lives alone by a lake. He drowned in it long ago, but now hes alive again and furious that no one had saved him. He will kill anyone who comes into his territory."
481,Bushido Dragon,1 day 10 hrs ,3000,23 Hours ,No,150000,"The Bushido Dragon is a Legendary Dragon   with the primary typing of Metal. The Bushido Dragon can also learn Dark, War and  Pure moves.      The violent existence of this samurai is tempered by wisdom and serenity. Honor, courage, and respect are three indispensable values for him."
482,La Muerta Dragon,,,,,,
483,Crest Dragon,22 Hours ,3000,17 Hours ,No,150000,The Crest Dragon is a Rare Dragon   with the primary typing of Electric. The Crest Dragon can also learn Terra and  Nature moves.      His hair’s his crowning glory. He grooms it carefully to make sure it stands straight up. All the ladies just love that punk touch!
484,Bonfire Dragon,17 Hours ,4500,23 Hours ,Yes,200000,The Bonfire Dragon is a Very Rare Dragon   with the primary typing of Flame. The Bonfire Dragon can also learn Terra and  Nature moves.      Wood is supposed to burn to ashes when it’s on fire so… why doesn’t this wooden dragon burn to the ground? It’s magic!
485,Snail Dragon,22 Hours ,3000,17 Hours ,No,150000,"The Snail Dragon is a Common Dragon   with the primary typing of Terra. The Snail Dragon can also learn Nature and  Flame moves.      He’s slow but steady. In spite of being called “slug” by many disrespectful creatures, the Snail Dragon has the most positive, can-do attitude."
486,Mantis Dragon,18 Hours ,2000,15 Hours ,No,200000,"The Mantis Dragon is a Rare Dragon   with the primary typing of Electric. The Mantis Dragon can also learn Nature and  Sea moves.      Why Deus decided it was a good idea to breed a Plant Dragon with a common mantis, no one knows… But the result is a happy creature who likes to help all the dragons that live in gardens!"
487,Sand Dragon,1 day 10 hrs ,2000,23 Hours ,No,150000,"The Sand Dragon is a Very Rare Dragon   with the primary typing of Flame. The Sand Dragon can also learn Terra and  Light moves.      If you want to find this dragon, you don’t need to look for him, you just need to follow the sand trail he leaves behind. He is a bit clumsy, but everybody loves him."
488,Bohemian Dragon,17 Hours ,6000,23 Hours ,Yes,150000,"The Bohemian Dragon is a Legendary Dragon   with the primary typing of Legend.       The Bohemian Dragon lives inside a tree in her habitat, where she plays her music and writes her novels. Shes not very sociable, but when you get to know her, shes really nice."
489,Dual Dragon,2 days 2 hrs ,6000,2 days 10 hrs ,Yes,432000,"The Dual Dragon is a Legendary Dragon   with the primary typing of Legend.       Two personalities, two ways of seeing the world. This dragon’s good side is very nice but also a bit insecure, so it lets the bad, confident side speak for the both of them."
490,Old General Dragon,,,,,,
491,Demigod Dragon,22 Hours ,4500,17 Hours ,No,150000,"The Demigod Dragon is a Legendary Dragon   with the primary typing of Legend. The Demigod Dragon can also learn War and  Light moves.      Entire cities have fallen at his feet. In the Middle Ages, this dragon was feared but also worshipped because whoever he favored in a war would win. Add him to your team and he will make you king."
492,Turkey Dragon,1 day 10 hrs ,3000,23 Hours ,No,150000,"The Turkey Dragon is a Legendary Dragon   with the primary typing of Legend. The Turkey Dragon can also learn Electric and  Terra moves.      The most important thing you need to know is that Turkey Dragons are not edible. We repeat: not edible! A man ate a roast Turkey Dragon once, and let’s just say he felt heartburn in the most literal sense."
493,Rocket Dragon,1 day 10 hrs ,3000,23 Hours ,No,150000,"The Rocket Dragon is a Legendary Dragon   with the primary typing of Legend. The Rocket Dragon can also learn Metal and  Ice moves.      Pure cybernetic fury. This dragon was designed by human minds, but they made it so perfect that it became self-sufficient and flew away from them and went straight to Dragon City."
494,Candy Boot Dragon,,,,,,
495,Bark Dragon,1 day 10 hrs ,3000,23 Hours ,No,150000,"The Bark Dragon is a Very Rare Dragon   with the primary typing of Terra. The Bark Dragon can also learn Nature and  Ice moves.      This dragon is the perfect example of integration with nature. His skin is made entirely of bark and instead of blood, sap runs through his veins."
496,Fate Dragon,4 days 4 hrs ,4500,2 days 10 hrs ,No,432000,The Fate Dragon is a Legendary Dragon   with the primary typing of Legend.       The ritual he follows for his predictions is quite impressive: He covers his eyes with his stole and lets the words flow. He’s so mystical that it is hard to decipher what he says.
497,Voltage Dragon,2 days 16 hrs ,4500,1 days 16 hrs ,No,200000,"The Voltage Dragon is a Epic Dragon   with the primary typing of Electric. The Voltage Dragon can also learn Pure and  Light moves.      This dragons habitat is a high-risk area, mainly on stormy days. Hes dangerous to have around even for Deus - he makes his hair stand up. High voltage!"
498,Water Storm Dragon,,,,,,
499,Wispy Dragon,1 day 10 hrs ,3000,23 Hours ,No,150000,"The Wispy Dragon is a Rare Dragon   with the primary typing of Dark. The Wispy Dragon can also learn Light and  Ice moves.      This beautiful dragon arrives quietly, but when he leaves, you know he’s been around because of the trail of refreshing mist left in his wake."
500,Doctor Dragon,22 Hours ,3000,17 Hours ,No,100000,"The Doctor Dragon is a Very Rare Dragon   with the primary typing of Nature. The Doctor Dragon can also learn Terra and  Light moves.      Before you even ask, the answer is yes: Dragon doctors’ handwriting is just as bad as human doctors’; but apart from that, theyre really helpful after Quests and League battles."
501,Grinchy Dragon,1 day 10 hrs ,3000,23 Hours ,No,150000,"The Grinchy Dragon is a Legendary Dragon   with the primary typing of Legend. The Grinchy Dragon can also learn Dark and  Nature moves.      This creature absolutely loathes Christmas and everything related to it, so every year he tries to ruin the holidays for everyone. Sometimes he even succeeds. He’s great at making family members fight."
502,Yeti Dragon,1 day 8 hrs ,3000,1 days 16 hrs ,Yes,200000,"The Yeti Dragon is a Epic Dragon   with the primary typing of Ice. The Yeti Dragon can also learn Sea and  War moves.      Everyone fears this dragon, so he’s used to a lonely existence. He doesn’t know how to socialize or make friends, but the truth is that under all that gray fur, there’s a warm heart."
503,Avalon Dragon,2 days 2 hrs ,6000,2 days 10 hrs ,Yes,432000,"The Avalon Dragon is a Legendary Dragon   with the primary typing of Legend.       This creature is like the personal guard to the Four Horsemen of the Apocalypse: he ensures that Conquest, War, Famine, and Death are spread across the world. Owning him assures victory, even against the Horsemen."
504,Wolfreeze Dragon,4 days 4 hrs ,4500,2 days 10 hrs ,No,432000,The Wolfreeze Dragon is a Epic Dragon   with the primary typing of Ice. The Wolfreeze Dragon can also learn Pure and  Dark moves.      This dragon can be found in the most arid parts of Antarctica. He enjoys the isolation and will attack anyone who comes close to his territory just to keep it that way.
505,Solstice Dragon,22 Hours ,3000,17 Hours ,No,100000,"The Solstice Dragon is a Very Rare Dragon   with the primary typing of Dark. The Solstice Dragon can also learn Light moves.      This dragon can only be found on the longest night of the year, when the winter solstice takes place. So if you find one, persuade him to come with you! You’ll only get one opportunity per year!"
506,The Kind Dragon,,,,,,
507,Winter Phoenix Dragon,,,,,,
508,Firewolf Dragon,1 day 10 hrs ,2000,23 Hours ,No,150000,"The Firewolf Dragon is a Epic Dragon   with the primary typing of Terra. The Firewolf Dragon can also learn Dark and  Flame moves.      For most dragons, it would be a nightmare to live anywhere near the sun, but this one has actually built a house on the sun itself. His home has one of the best views in the entire universe."
509,Ignition Dragon,22 Hours ,1500,17 Hours ,No,60000,"The Ignition Dragon is a Legendary Dragon   with the primary typing of Legend. The Ignition Dragon can also learn Flame moves.      A swipe from the Ignition Dragon is hard to recover from. This creature’s claws are made of sharp metal, but what makes them lethal is that they can also burn. Just thinking about them can hurt your skin."
510,Nightmare Dragon,2 days 16 hrs ,3000,1 days 16 hrs ,No,150000,The Nightmare Dragon is a Epic Dragon   with the primary typing of Dark. The Nightmare Dragon can also learn Flame and  Metal moves.      Deus once had a nightmare that seemed so real his imagination merged with his power and this dragon was created.
511,Meditation Dragon,1 day 10 hrs ,3000,23 Hours ,No,150000,"The Meditation Dragon is a Legendary Dragon   with the primary typing of Legend. The Meditation Dragon can also learn Light and  Pure moves.      He spends most of his time in a trance. He seems harmless, but the truth is that meditation helps him to have spectacular control over his powers."
512,Asian Dragon,1 day 10 hrs ,4000,23 Hours ,No,150000,"The Asian Dragon is a Epic Dragon   with the primary typing of Pure. The Asian Dragon can also learn Light and  Metal moves.      As the guardian of all ancient traditions and an expert in martial arts, she is treated with the highest respect and admiration in her homeland. Be wary of her darts!"
513,Sunrise Dragon,2 days 16 hrs ,3500,1 days 16 hrs ,No,10000,"The Sunrise Dragon is a Common Dragon   with the primary typing of Flame. The Sunrise Dragon can also learn Terra and  Electric moves.      It is said that this dragon carries the sun on his back. The truth, however, is that the ball of light that orbits him is just a sphere so dazzling that it can be easily mistaken for our closest star."
514,Otoroshi Dragon,2 days 16 hrs ,4500,1 days 16 hrs ,No,200000,"The Otoroshi Dragon is a Rare Dragon   with the primary typing of Electric. The Otoroshi Dragon can also learn Dark and  Sea moves.      A crawling demon is a creepy thing, but a crawling demon dragon is creepy and dangerous! Be alert when youre walking, as treading on an Otoroshi Dragon’s tail would be fatal!"
515,Nobunaga Dragon,4 days 4 hrs ,4500,2 days 10 hrs ,No,432000,"The Nobunaga Dragon is a Legendary Dragon   with the primary typing of Legend.       With his supreme battle skills, two arms would be more than enough for this dragon - but he has four arms… and two swords, making him all but invincible!"
516,Tackle Dragon,17 Hours ,3000,2 days 10 hrs ,Yes,150000,"The Tackle Dragon is a Legendary Dragon   with the primary typing of Dark. The Tackle Dragon can also learn Electric and  War moves.      The Tackle Dragon is a sports superstar. He used to be a team mascot, but he learned so much from watching the game that one day he started playing for his team... and hes awesome!"
517,Red Asian Dragon,,,,,,
518,Dancing Dragon,1 day 10 hrs ,1500,23 Hours ,No,150000,"The Dancing Dragon is a Very Rare Dragon   with the primary typing of Pure. The Dancing Dragon can also learn Dark and  Terra moves.      Life is one giant musical for the Dancing Dragon. She’s always prancing around Dragon City singing at the top of her lungs. It doesn’t stop there, sometimes she forces the other dragons to wear costumes and do choreographed dances with her."
519,Diva Dragon,1 day 10 hrs ,4500,23 Hours ,No,150000,"The Diva Dragon is a Epic Dragon   with the primary typing of War. The Diva Dragon can also learn Metal and  Sea moves.      The Diva Dragon is known for her diva-ish ways and her ever-changing look. She’s particular and likes things to be just right. If her tomatoes aren’t firm enough or her habitat isn’t at the right temperature, she’ll be the first to complain."
520,Vain Dragon,2 days 16 hrs ,4500,1 days 16 hrs ,No,432000,"The Vain Dragon is a Legendary Dragon   with the primary typing of Legend. The Vain Dragon can also learn Light and  Dark moves.      Fans of the Vain Dragon can’t get enough of him, and he can’t get enough of himself. No matter where he is, even in battle, every moment is a selfie moment, and he can’t resist the camera."
521,Demolition Dragon,2 days 16 hrs ,4500,1 days 16 hrs ,No,200000,"The Demolition Dragon is a Legendary Dragon   with the primary typing of Legend. The Demolition Dragon can also learn War and  Electric moves.      The Demolition Dragon is highly feared and can’t have nice things. This reckless dragon is wild and free and destroys everything she comes in contact with, including other dragons in battle."
522,Enigmatic Dragon,2 days 16 hrs ,3000,1 days 16 hrs ,No,200000,"The Enigmatic Dragon is a Legendary Dragon   with the primary typing of Light. The Enigmatic Dragon can also learn Pure, Metal and  Ice moves.      For centuries, kings from all over the world have traveled to Dragon City to try to steal a few of the Enigmatical Dragon’s crystals for their crowns, but they end up bowing down before him and begging for his protection."
523,Forest Lord Dragon,,,,,,
524,Leaf Dragon,1 day 10 hrs ,3000,23 Hours ,No,500,"The Leaf Dragon is a Epic Dragon   with the primary typing of Nature. The Leaf Dragon can also learn Terra and  Pure moves.      The largest land mammal on Earth, the African elephant, weighs up to eight tons. The Leaf Dragon, on the other hand, is one of the lightest creatures and can move with even the slightest breeze."
525,Padron Dragon,1 day 10 hrs ,3000,23 Hours ,No,500,The Padron Dragon is a Rare Dragon   with the primary typing of Flame. The Padron Dragon can also learn Nature moves.      One of the biggest threats to biodiversity and ecosystems is where and how we produce food. The Padron Dragon is here to alert the world about this!
526,Symbiotic Dragon,11 Hours ,3000,17 Hours ,Yes,500,"The Symbiotic Dragon is a Legendary Dragon   with the primary typing of Legend. The Symbiotic Dragon can also learn Sea and  Nature moves.      Fresh water provides water for drinking, sanitation, agriculture, transport, electricity generation and recreation. It is also a major habitat for species such as the Symbiotic Dragon."
527,Deep Sea Dragon,,,,,,
528,Sustainable Dragon,11 Hours ,3000,17 Hours ,Yes,500,"The Sustainable Dragon is a Very Rare Dragon   with the primary typing of Terra. The Sustainable Dragon can also learn Sea and  Nature moves.      By making small changes in the way we eat or use energy, we can begin to ease the pressure on our natural resources. This is the message that the Sustainable Dragon wants to convey."
529,Super Flame Dragon,,,,,,
530,Super Terra Dragon,,,,,,
531,Third Birthday Dragon,,,,,,
532,Super Star Dragon,,,,,,
533,Super Nature Dragon,,,,,,
534,Tiamat Dragon,1 day 10 hrs ,3000,23 Hours ,No,150000,"The Tiamat Dragon is a Very Rare Dragon   with the primary typing of Dark. The Tiamat Dragon can also learn Flame and  Electric moves.      Three heads, three personalities. The fire head is always furious and looking for a fight, the electric head loves to shock everyone, and the head in the middle just wants a normal life - but with the other two, it’s impossible!"
535,Macha Dragon,18 Hours ,2000,15 Hours ,No,100000,"The Macha Dragon is a Very Rare Dragon   with the primary typing of Flame. The Macha Dragon can also learn Nature and  Pure moves.      This friendly dragon is said to bring luck to her habitat mates, so everyone in Dragon City is always inviting her to live at their habitat!"
536,Squid Dragon,1 day 10 hrs ,3000,23 Hours ,No,150000,The Squid Dragon is a Rare Dragon   with the primary typing of Flame. The Squid Dragon can also learn Nature and  Electric moves.      The Squid Dragon is the captain of the Ghost Ship. His duty is to carry the souls of those who perished in the sea from this world to the next.
537,Kraken Dragon,2 days 16 hrs ,4500,1 days 16 hrs ,No,200000,"The Kraken Dragon is a Legendary Dragon   with the primary typing of Sea. The Kraken Dragon can also learn Pure, Dark and  Ice moves.      Pirates claim to be free souls that obey no rules, but they are secretly ruled by the Kraken Dragon, a giant creature who can sink all their ships and riches in seconds if they don’t accept his rule."
538,Captain Dragon,2 days 16 hrs ,4500,1 days 16 hrs ,No,200000,"The Captain Dragon is a Epic Dragon   with the primary typing of Electric. The Captain Dragon can also learn Metal and  War moves.      The dragon pirate ship is a crazy place, especially when the Captain Dragon is around. He loves having his crew fight each other just for his entertainment. All he needs to say is: “Show time!”, and the battles start."
539,Dark Pearl Dragon,,,,,,
540,Highborn Dragon,1 day 10 hrs ,3000,23 Hours ,No,150000,"The Highborn Dragon is a Legendary Dragon   with the primary typing of Pure. The Highborn Dragon can also learn Light, Electric and  Flame moves.      This noble dragon commands an army of eagles that watches over the entire dragon world. He takes a lot of pride in his duty!"
541,Joke Dragon,11 Hours ,3000,17 Hours ,Yes,150000,The Joke Dragon is a Very Rare Dragon   with the primary typing of Dark. The Joke Dragon can also learn Light and  Flame moves.      What sound do you hear when dragons eat spicy salsa? The fire alarm!
542,Nessy Dragon,1 day 10 hrs ,3000,23 Hours ,No,150000,"The Nessy Dragon is a Legendary Dragon   with the primary typing of Pure. The Nessy Dragon can also learn Sea, Ice and  Nature moves.      The Nessy Dragon gets bored if you keep him in his habitat all the time. Hes such a fast swimmer, and all he wants to do is show off in front of his rivals. He also loves a good battle!"
543,Magma Dragon,2 days 16 hrs ,4500,1 days 16 hrs ,No,200000,"The Magma Dragon is a Legendary Dragon   with the primary typing of Pure. The Magma Dragon can also learn Flame, Metal and  Dark moves.      A mother dragon was flying over a volcano, when the egg she was carrying slipped through her claws. She thought shed lost her son forever, but she hadnt - her baby rose from the crater wrapped in magma, unstoppable."
544,Ard Ri Dragon,,,,,,
545,Frozebeast Dragon,2 days 16 hrs ,4500,1 days 16 hrs ,No,200000,"The Frozebeast Dragon is a Legendary Dragon   with the primary typing of Pure. The Frozebeast Dragon can also learn Ice, Electric and  Dark moves.      Some mischievous souls love the heat, so hell could be a nice vacation for them. To make sure they don’t have too much fun, they’re sent to the cold branch of hell, where they are monitored by FrozeBeast."
546,Zodiac Aries Dragon,,,,,,
547,Ozone Dragon,11 Hours ,3000,17 Hours ,Yes,60000,The Ozone Dragon is a Very Rare Dragon   with the primary typing of Pure. The Ozone Dragon can also learn Nature and  Terra moves.      This dragon is essential for the ecosystem of Dragon City! She keeps the air clean and protects the islands whenever the Sun Dragon shines a bit too much.
548,High Fenrir Dragon,,,,,,
549,Glitter Dragon,1 day 10 hrs ,3000,23 Hours ,No,150000,"The Glitter Dragon is a Legendary Dragon   with the primary typing of Metal. The Glitter Dragon can also learn Electric, Light and  War moves.      All that glitters here is gold. This dragon played a decisive role in Dragon War I, so the king of his country had a gold suit of armor made for him so that everyone would know that he was a golden warrior."
550,Intraterrestrial Dragon,17 Hours ,3000,23 Hours ,Yes,150000,"The Intraterrestrial Dragon is a Very Rare Dragon   with the primary typing of Metal. The Intraterrestrial Dragon can also learn Terra and  Dark moves.      The Intraterrestrial Dragon is one of the very few creatures that can survive on every layer of the Earth. Having spent most of his life investigating on his own has made him weird among the weird, as you can see."
551,Firefrog Dragon,2 days 16 hrs ,3000,1 days 16 hrs ,No,150000,"The Firefrog Dragon is a Epic Dragon   with the primary typing of War. The Firefrog Dragon can also learn Nature and  Flame moves.      This dragon comes from the Earth’s inner core and, as you can see, creatures are a bit different there! The Firefrog Dragon is a rare and fascinating beast that will look great in your collection."
552,Choleric Dragon,18 Hours ,2000,15 Hours ,No,150000,"The Choleric Dragon is a Rare Dragon   with the primary typing of Ice. The Choleric Dragon can also learn Dark and  Metal moves.      This is the dragon version of an armored tank: tough and steady, only more dangerous. Be careful with his spiky tail!"
553,Reaper Dragon,2 days 16 hrs ,4500,1 days 16 hrs ,No,200000,"The Reaper Dragon is a Legendary Dragon   with the primary typing of Pure. The Reaper Dragon can also learn Ice, Electric and  Dark moves.      Many have seen the Reaper Dragon, but none have been able to tell us what it was like. The moment they saw him coming, they knew their time was up."
554,Bear Dragon,17 Hours ,2000,23 Hours ,Yes,150000,"The Bear Dragon is a Epic Dragon   with the primary typing of Pure. The Bear Dragon can also learn Light and  Sea moves.      The Bear Dragon hibernates for 7 months every year and can be a bit lazy at times, but when he’s active, his strength and resistance make him a great partner in battle."
555,Panther Dragon,1 day 10 hrs ,3000,23 Hours ,No,100000,"The Panther Dragon is a Very Rare Dragon   with the primary typing of Electric. The Panther Dragon can also learn Dark and  Light moves.      Panther Dragons are extremely rare and very few people have seen one, but those who have describe these creatures as quick and strong. They are also known to be stealthy hunters."
556,Snake Dragon,22 Hours ,3000,17 Hours ,No,150000,"The Snake Dragon is a Legendary Dragon   with the primary typing of Legend. The Snake Dragon can also learn Dark and  Metal moves.      This is quite a unique snake. Unlike the rest of his kind, he’s not very cunning. All he does is insult other jungle animals and hide behind the protection of stronger allies."
557,Tiger Dragon,17 Hours ,3000,23 Hours ,Yes,150000,"The Tiger Dragon is a Rare Dragon   with the primary typing of Nature. The Tiger Dragon can also learn Terra and  Flame moves.      This feline dragon is one of the most respected creatures in the jungle. Regular tigers are very intelligent, have a great memory, and are very quick - this one is all that, plus she can fly!"
558,Dark Sky Dragon,,,,,,
559,High Nucleus Dragon,,,,,,
560,Sunlight Dragon,17 Hours ,3000,23 Hours ,Yes,200000,The Sunlight Dragon is a Epic Dragon   with the primary typing of Light. The Sunlight Dragon can also learn Metal and  Electric moves.      Sunlight Dragon’s skin has special light-absorbing cells which allow him to store lots of sunrays and shine brightly when the sun is gone. He’s also nice to have around when it’s cold… so warm!
561,Banana Dragon,1 day 10 hrs ,3000,23 Hours ,No,150000,"The Banana Dragon is a Rare Dragon   with the primary typing of Electric. The Banana Dragon can also learn Sea and  Nature moves.      The Banana Dragon looks harmless, but he’s actually really dangerous! He can attack you in all sorts of ways: his deadliest strategy is leaving his skin on the floor so that you slip and fall!"
562,Wacky Dragon,1 day 10 hrs ,3000,23 Hours ,No,100000,"The Wacky Dragon is a Very Rare Dragon   with the primary typing of Electric. The Wacky Dragon can also learn Ice and  Metal moves.      The Wacky Dragon used to be very serious, but then one day an attack he performed went wrong. Instead of hitting his opponent, it hit him! He went completely crazy, but at least hes pretty funny now!"
563,Holi Dragon,1 day 10 hrs ,3000,23 Hours ,No,150000,"The Holi Dragon is a Epic Dragon   with the primary typing of Light. The Holi Dragon can also learn Ice and  Electric moves.      The Holi Dragon symbolizes the victory of good over evil. It has a very nice attitude towards life: play and laugh, forget and forgive. Celebrate the good things that happen!"
564,Timetravel Dragon,4 days 4 hrs ,4500,2 days 10 hrs ,No,432000,"The Timetravel Dragon is a Legendary Dragon   with the primary typing of Legend.       One of the most brilliant creations of the Dragon City labs. Magic, science and technology have come together to create a dragon that can travel back and forth through time!"
565,Vanoss Dragon,2 days 16 hrs ,4500,1 days 16 hrs ,No,150000,"The Vanoss Dragon is a Legendary Dragon   with the primary typing of War. The Vanoss Dragon can also learn Dark, Metal and  Flame moves.      The Vanoss Dragon likes games, darts, hanging out with his friends, and above all… Knawledge. He also has a signature joke: “What do you call a magic owl? Hoodini!”"
